Index,feature name
1,AL627309.1
2,AP006222.2
3,RP4-669L17.10
4,RP11-206L10.3
5,RP11-206L10.2
6,RP11-206L10.9
7,FAM87B
8,LINC00115
9,FAM41C
10,RP11-54O7.1
11,SAMD11
12,NOC2L
13,KLHL17
14,PLEKHN1
15,C1orf170
16,RP11-54O7.17
17,HES4
18,ISG15
19,AGRN
20,RNF223
21,C1orf159
22,RP11-465B22.8
23,TTLL10
24,TNFRSF18
25,TNFRSF4
26,SDF4
27,B3GALT6
28,FAM132A
29,RP5-902P8.12
30,UBE2J2
31,SCNN1D
32,ACAP3
33,PUSL1
34,CPSF3L
35,GLTPD1
36,DVL1
37,MXRA8
38,AURKAIP1
39,CCNL2
40,RP4-758J18.2
41,MRPL20
42,RP4-758J18.13
43,ANKRD65
44,RP4-758J18.10
45,VWA1
46,ATAD3C
47,ATAD3B
48,ATAD3A
49,SSU72
50,AL645728.1
51,C1orf233
52,RP11-345P4.9
53,MIB2
54,MMP23B
55,CDK11B
56,RP11-345P4.10
57,SLC35E2B
58,RP11-345P4.7
59,CDK11A
60,SLC35E2
61,NADK
62,GNB1
63,RP1-140A9.1
64,CALML6
65,TMEM52
66,C1orf222
67,RP11-547D24.1
68,GABRD
69,PRKCZ
70,RP5-892K4.1
71,RP11-181G12.2
72,C1orf86
73,AL590822.2
74,AL590822.1
75,RP11-181G12.4
76,SKI
77,MORN1
78,RER1
79,PEX10
80,PLCH2
81,PANK4
82,HES5
83,RP3-395M20.12
84,TNFRSF14
85,RP3-395M20.9
86,FAM213B
87,MMEL1
88,TTC34
89,LINC00982
90,PRDM16
91,ARHGEF16
92,MEGF6
93,RP11-46F15.2
94,TPRG1L
95,WRAP73
96,TP73
97,TP73-AS1
98,SMIM1
99,LRRC47
100,CEP104
101,DFFB
102,C1orf174
103,LINC01134
104,AJAP1
105,NPHP4
106,KCNAB2
107,CHD5
108,RPL22
109,RP1-120G22.11
110,RNF207
111,ICMT
112,LINC00337
113,GPR153
114,ACOT7
115,RP1-202O8.3
116,HES2
117,ESPN
118,TNFRSF25
119,PLEKHG5
120,NOL9
121,TAS1R1
122,ZBTB48
123,KLHL21
124,PHF13
125,THAP3
126,DNAJC11
127,RP11-242F24.1
128,RP11-312B8.1
129,CAMTA1
130,RP4-549F15.1
131,RP11-338N10.2
132,VAMP3
133,PER3
134,RP3-467L1.4
135,UTS2
136,TNFRSF9
137,PARK7
138,ERRFI1
139,RP11-431K24.1
140,SLC45A1
141,RERE
142,RP5-1115A15.1
143,RP4-633I8.4
144,ENO1
145,ENO1-AS1
146,CA6
147,SLC2A5
148,GPR157
149,RP3-510D11.2
150,H6PD
151,SPSB1
152,SLC25A33
153,TMEM201
154,PIK3CD
155,RP11-558F24.4
156,CLSTN1
157,CTNNBIP1
158,LZIC
159,NMNAT1
160,RBP7
161,UBE4B
162,KIF1B
163,PGD
164,APITD1
165,APITD1-CORT
166,CORT
167,DFFA
168,RP5-1113E3.3
169,PEX14
170,CASZ1
171,RP4-734G22.3
172,C1orf127
173,TARDBP
174,MASP2
175,RP4-635E18.8
176,SRM
177,EXOSC10
178,RP4-635E18.7
179,RP4-635E18.6
180,MTOR
181,ANGPTL7
182,UBIAD1
183,PTCHD2
184,FBXO2
185,FBXO44
186,FBXO6
187,MAD2L2
188,DRAXIN
189,AGTRAP
190,C1orf167
191,RP11-56N19.5
192,MTHFR
193,CLCN6
194,NPPA-AS1
195,NPPA
196,KIAA2013
197,PLOD1
198,MFN2
199,MIIP
200,TNFRSF8
201,TNFRSF1B
202,VPS13D
203,DHRS3
204,RP11-474O21.5
205,HNRNPCL1
206,LRRC38
207,PDPN
208,PRDM2
209,KAZN
210,TMEM51
211,FHAD1
212,RP3-467K16.2
213,RP3-467K16.7
214,RP3-467K16.4
215,EFHD2
216,CTRC
217,CELA2A
218,CELA2B
219,CASP9
220,DNAJC16
221,AGMAT
222,RP4-680D5.2
223,DDI2
224,PLEKHM2
225,SLC25A34
226,FBLIM1
227,RP11-169K16.9
228,SPEN
229,ZBTB17
230,C1orf64
231,HSPB7
232,CLCNKA
233,CLCNKB
234,FAM131C
235,EPHA2
236,RP11-276H7.2
237,RP11-276H7.3
238,ARHGEF19
239,C1orf134
240,RSG1
241,FBXO42
242,SZRD1
243,SPATA21
244,NECAP2
